PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
1,0,3,0,22,1,0,521171,7,0
2,1,1,1,38,1,0,17599,71,1
3,1,3,1,26,0,0,2,7,0
4,1,1,1,35,1,0,113803,53,0
5,0,3,0,35,0,0,373450,8,0
6,0,3,0,0,0,0,330877,8,2
7,0,1,0,54,0,0,17463,51,0
8,0,3,0,2,3,1,349909,21,0
9,1,3,1,27,0,2,347742,11,0
10,1,2,1,14,1,0,237736,30,1
11,1,3,1,4,1,1,9549,16,0
12,1,1,1,58,0,0,113783,26,0
13,0,3,0,20,0,0,5,8,0
14,0,3,0,39,1,5,347082,31,0
15,0,3,1,14,0,0,350406,7,0
16,1,2,1,55,0,0,248706,16,0
17,0,3,0,2,4,1,382652,29,2
18,1,2,0,0,0,0,244373,13,0
19,0,3,1,31,1,0,345763,18,0
20,1,3,1,0,0,0,2649,7,1
21,0,2,0,35,0,0,239865,26,0
22,1,2,0,34,0,0,248698,13,0
23,1,3,1,15,0,0,330923,8,2
24,1,1,0,28,0,0,113788,35,0
25,0,3,1,8,3,1,349909,21,0
26,1,3,1,38,1,5,347077,31,0
27,0,3,0,0,0,0,2631,7,1
28,0,1,0,19,3,2,19950,263,0
29,1,3,1,0,0,0,330959,7,2
30,0,3,0,0,0,0,349216,7,0
31,0,1,0,40,0,0,17601,27,1
32,1,1,1,0,1,0,17569,146,1
33,1,3,1,0,0,0,335677,7,2
34,0,2,0,66,0,0,24579,10,0
35,0,1,0,28,1,0,17604,82,1
36,0,1,0,42,1,0,113789,52,0
37,1,3,0,0,0,0,2677,7,1
38,0,3,0,21,0,0,52152,8,0
39,0,3,1,18,2,0,345764,18,0
40,1,3,1,14,1,0,2651,11,1
41,0,3,1,40,1,0,7546,9,0
42,0,2,1,27,1,0,11668,21,0
43,0,3,0,0,0,0,349253,7,1
44,1,2,1,3,1,2,2123,41,1
45,1,3,1,19,0,0,330958,7,2
46,0,3,0,0,0,0,423567,8,0
47,0,3,0,0,1,0,370371,15,2
48,1,3,1,0,0,0,14311,7,2
49,0,3,0,0,2,0,2662,21,1
50,0,3,1,18,1,0,349237,17,0
51,0,3,0,7,4,1,3101295,39,0
52,0,3,0,21,0,0,4,7,0
53,1,1,1,49,1,0,17572,76,1
54,1,2,1,29,1,0,2926,26,0
55,0,1,0,65,0,1,113509,61,1
56,1,1,0,0,0,0,19947,35,0
57,1,2,1,21,0,0,31026,10,0
58,0,3,0,28,0,0,2697,7,1
59,1,2,1,5,1,2,34651,27,0
60,0,3,0,11,5,2,2144,46,0
61,0,3,0,22,0,0,2669,7,1
62,1,1,1,38,0,0,113572,80,2
63,0,1,0,45,1,0,36973,83,0
64,0,3,0,4,3,2,347088,27,0
65,0,1,0,0,0,0,17605,27,1
66,1,3,0,0,1,1,2661,15,1
67,1,2,1,29,0,0,29395,10,0
68,0,3,0,19,0,0,3464,8,0
69,1,3,1,17,4,2,3101281,7,0
70,0,3,0,26,2,0,315151,8,0
71,0,2,0,32,0,0,33111,10,0
72,0,3,1,16,5,2,2144,46,0
73,0,2,0,21,0,0,14879,73,0
74,0,3,0,26,1,0,2680,14,1
75,1,3,0,32,0,0,1601,56,0
76,0,3,0,25,0,0,348123,7,0
77,0,3,0,0,0,0,349208,7,0
78,0,3,0,0,0,0,374746,8,0
79,1,2,0,0,0,2,248738,29,0
80,1,3,1,30,0,0,364516,12,0
81,0,3,0,22,0,0,345767,9,0
82,1,3,0,29,0,0,345779,9,0
83,1,3,1,0,0,0,330932,7,2
84,0,1,0,28,0,0,113059,47,0
85,1,2,1,17,0,0,14885,10,0
86,1,3,1,33,3,0,3101278,15,0
87,0,3,0,16,1,3,6608,34,0
88,0,3,0,0,0,0,392086,8,0
89,1,1,1,23,3,2,19950,263,0
90,0,3,0,24,0,0,343275,8,0
91,0,3,0,29,0,0,343276,8,0
92,0,3,0,20,0,0,347466,7,0
93,0,1,0,46,1,0,5734,61,0
94,0,3,0,26,1,2,2315,20,0
95,0,3,0,59,0,0,364500,7,0
96,0,3,0,0,0,0,374910,8,0
97,0,1,0,71,0,0,17754,34,1
98,1,1,0,23,0,1,17759,63,1
99,1,2,1,34,0,1,231919,23,0
100,0,2,0,34,1,0,244367,26,0
101,0,3,1,28,0,0,349245,7,0
102,0,3,0,0,0,0,349215,7,0
103,0,1,0,21,0,1,35281,77,0
104,0,3,0,33,0,0,7540,8,0
105,0,3,0,37,2,0,3101276,7,0
106,0,3,0,28,0,0,349207,7,0
107,1,3,1,21,0,0,343120,7,0
108,1,3,0,0,0,0,312991,7,0
109,0,3,0,38,0,0,349249,7,0
110,1,3,1,0,1,0,371110,24,2
111,0,1,0,47,0,0,110465,52,0
112,0,3,1,14,1,0,2665,14,1
113,0,3,0,22,0,0,324669,8,0
114,0,3,1,20,1,0,4136,9,0
115,0,3,1,17,0,0,2627,14,1
116,0,3,0,21,0,0,2,7,0
